OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
289259678,546,New Jersey Ave & F St NW,31655,38.897108,-77.011616,YES,NO,,,NO,12,20,398992.3424,136584.3305,,DC
289259679,547,Maryland Ave & 17th St NE,31656,38.901935,-76.978627,YES,NO,,,NO,14,5,401853.9263,137120.3191,,DC
289259680,548,Massachusetts Ave & 6th St NE,31657,38.892934,-76.998273,YES,NO,,,NO,7,11,400149.8215,136120.9208,,DC
289259681,549,Woodley Park Metro / Calvert St & Connecticut Ave NW,31323,38.923389,-77.051833,YES,NO,,,NO,15,7,395505.2797,139502.9495,,DC
289259682,550,McLean Metro,32230,38.924002,-77.208127,YES,NO,,,NO,7,12,381952.3499,139590.295,,
289259683,551,Trinidad Rec Center,31525,38.906299,-76.983221,YES,NO,,,NO,3,16,401455.3468,137604.6751,,DC
289259684,552,Rosedale Rec Center,31658,38.897808,-76.979634,YES,NO,,,NO,14,4,401766.6798,136662.169,,DC
289259685,553,11th & C St SE,31659,38.885908,-76.991476,YES,NO,,,NO,3,15,400739.5508,135341.013,,DC
289259686,554,New Hampshire & Gallatin St NW,31418,38.951596,-77.012808,YES,NO,,,NO,0,19,398889.7882,142632.9762,,DC
289259687,555,United Medical Center,31823,38.835737,-76.983144,YES,NO,,,NO,9,10,401463.4718,129771.768,,DC
289259688,556,18th & New Hampshire Ave NW,31324,38.911268,-77.041829,YES,NO,,,NO,12,7,396372.1642,138156.9722,,DC
289259689,560,Dunn Loring Metro,32231,38.8828,-77.2283,YES,NO,,,NO,6,13,380191.6213,135020.7356,,
289259690,561,Oglethorpe St & 42nd Ave,32408,38.959361,-76.946361,YES,NO,,,NO,8,7,404648.982,143496.2503,,
289259691,562,Southern Ave Metro,32409,38.840107,-76.9753,YES,NO,,,NO,5,10,402144.3723,130257.0229,,
289259692,563,Queens Chapel & Hamilton St,32410,38.9546,-76.9595,YES,NO,,,NO,10,5,403510.4374,142967.1484,,
289259693,564,Northwestern High School,32411,38.975505,-76.952199,YES,NO,,,NO,5,10,404142.0544,145288.1053,,
289259694,565,New Hampshire Ave & East-West Hwy,32412,38.974205,-76.995227,YES,NO,,,NO,7,8,400413.5978,145142.7192,,
289259695,566,Rhode Island Ave & 39th St / Brentwood Arts Exchange,32413,38.939271,-76.955047,YES,NO,,,NO,10,5,403897.2501,141265.6725,,
289259696,567,Riggs Rd & East West Hwy,32414,38.9725,-76.9807,YES,NO,,,NO,7,10,401672.4551,144953.6138,,
289259697,568,Tanger Outlets,32415,38.7968,-77.0026,YES,NO,,,NO,14,1,399774.1397,125449.3771,,
289259698,569,Chillum Rd & Riggs Rd / Riggs Plaza,32416,38.961737,-76.995922,YES,NO,,,NO,6,9,400353.4353,143758.6505,,
289259699,570,Hyattsville Library / Adelphi Rd & Toledo Rd,32417,38.9698,-76.9493,YES,NO,,,NO,10,5,404393.6104,144654.9314,,
289259700,571,George Mason High School / Haycock Rd & Leesburg Pike,32600,38.895172,-77.190275,YES,NO,,,NO,9,3,383493.706,136386.5573,,
289259701,572,State Theatre / Park Pl & N Washington St,32601,38.882746,-77.170032,YES,NO,,,NO,7,5,385247.2083,135003.7112,,
289259702,573,N Oak St & W Broad St,32602,38.88837,-77.179832,YES,NO,,,NO,12,0,384398.1442,135629.6469,,
289259703,574,Pennsylvania Ave & Park Ave,32603,38.887403,-77.176992,YES,NO,,,NO,6,6,384644.3283,135521.821,,
289259721,593,West Hyattsville Metro,32418,38.955349,-76.968084,YES,NO,,,NO,13,4,402766.369,143049.9992,,
